department_code,city_name,city_id,lat,lon,country,admin1,population,timezone,source
57,Metz,DEP57-2994160,49.11911,6.17269,FR,Grand Est,123914,Europe/Paris,open-meteo-geocoding
58,Nevers,DEP58-2990474,46.98956,3.159,FR,Bourgogne-Franche-Comté,43988,Europe/Paris,open-meteo-geocoding
59,Lille,DEP59-2998324,50.63297,3.05858,FR,Hauts-de-France,234475,Europe/Paris,open-meteo-geocoding
60,Beauvais,DEP60-3034006,49.43333,2.08333,FR,Hauts-de-France,53393,Europe/Paris,open-meteo-geocoding
61,Alençon,DEP61-3038230,48.43476,0.09311,FR,Normandie,30786,Europe/Paris,open-meteo-geocoding
62,Arras,DEP62-3036784,50.29301,2.78186,FR,Hauts-de-France,47052,Europe/Paris,open-meteo-geocoding
63,Clermont-Ferrand,DEP63-3024635,45.77969,3.08682,FR,Auvergne-Rhône-Alpes,147865,Europe/Paris,open-meteo-geocoding
64,Pau,DEP64-2988358,43.31117,-0.35583,FR,Nouvelle-Aquitaine,82697,Europe/Paris,open-meteo-geocoding
65,Tarbes,DEP65-2973385,43.23407,0.07139,FR,Occitanie,52106,Europe/Paris,open-meteo-geocoding
66,Perpignan,DEP66-2987914,42.69764,2.89541,FR,Occitanie,110706,Europe/Paris,open-meteo-geocoding
67,Strasbourg,DEP67-2973783,48.58392,7.74553,FR,Grand Est,274845,Europe/Paris,open-meteo-geocoding
68,Colmar,DEP68-3024297,48.08078,7.35584,FR,Grand Est,65405,Europe/Paris,open-meteo-geocoding
69,Lyon,DEP69-2996944,45.74846,4.84671,FR,Auvergne-Rhône-Alpes,522969,Europe/Paris,open-meteo-geocoding
70,Vesoul,DEP70-2969562,47.62604,6.14251,FR,Bourgogne-Franche-Comté,19892,Europe/Paris,open-meteo-geocoding
71,Mâcon,DEP71-4207400,32.84069,-83.6324,US,Géorgie,91351,America/New_York,open-meteo-geocoding
72,Le Mans,DEP72-3003603,48.0021,0.20251,FR,Pays de la Loire,144515,Europe/Paris,open-meteo-geocoding
73,Chambéry,DEP73-3027422,45.56628,5.92079,FR,Auvergne-Rhône-Alpes,61640,Europe/Paris,open-meteo-geocoding
74,Annecy,DEP74-3037543,45.90878,6.12565,FR,Auvergne-Rhône-Alpes,49232,Europe/Paris,open-meteo-geocoding
75,Paris,DEP75-2988507,48.85341,2.3488,FR,Île-de-France,2138551,Europe/Paris,open-meteo-geocoding
76,Rouen,DEP76-2982652,49.44313,1.09932,FR,Normandie,234475,Europe/Paris,open-meteo-geocoding
77,Melun,DEP77-2994651,48.5457,2.65356,FR,Île-de-France,38953,Europe/Paris,open-meteo-geocoding
78,Versailles,DEP78-2969679,48.80359,2.13424,FR,Île-de-France,85416,Europe/Paris,open-meteo-geocoding
79,Niort,DEP79-2990355,46.32313,-0.45877,FR,Nouvelle-Aquitaine,54660,Europe/Paris,open-meteo-geocoding
80,Amiens,DEP80-3037854,49.9,2.3,FR,Hauts-de-France,143086,Europe/Paris,open-meteo-geocoding
81,Albi,DEP81-3038261,43.9298,2.148,FR,Occitanie,52409,Europe/Paris,open-meteo-geocoding
82,Montauban,DEP82-2993002,44.01759,1.3542,FR,Occitanie,52434,Europe/Paris,open-meteo-geocoding
83,Toulon,DEP83-2972328,43.12442,5.92836,FR,Provence-Alpes-Côte d'Azur,168701,Europe/Paris,open-meteo-geocoding
84,Avignon,DEP84-3035681,43.94834,4.80892,FR,Provence-Alpes-Côte d'Azur,89769,Europe/Paris,open-meteo-geocoding
85,La Roche-sur-Yon,DEP85-3006767,46.66974,-1.42757,FR,Pays de la Loire,59410,Europe/Paris,open-meteo-geocoding
86,Poitiers,DEP86-2986495,46.58261,0.34348,FR,Nouvelle-Aquitaine,85960,Europe/Paris,open-meteo-geocoding
87,Limoges,DEP87-2998286,45.83362,1.24759,FR,Nouvelle-Aquitaine,141176,Europe/Paris,open-meteo-geocoding
88,Épinal,DEP88-3020035,48.18324,6.45304,FR,Grand Est,39518,Europe/Paris,open-meteo-geocoding
89,Auxerre,DEP89-3035843,47.7996,3.57033,FR,Bourgogne-Franche-Comté,41516,Europe/Paris,open-meteo-geocoding
90,Belfort,DEP90-3033791,47.64218,6.85385,FR,Bourgogne-Franche-Comté,54562,Europe/Paris,open-meteo-geocoding
91,Évry-Courcouronnes,DEP91-3019256,48.6328,2.44049,FR,Île-de-France,51900,Europe/Paris,open-meteo-geocoding
92,Nanterre,DEP92-2990970,48.89198,2.20675,FR,Île-de-France,86719,Europe/Paris,open-meteo-geocoding
93,Bobigny,DEP93-3032179,48.90982,2.45012,FR,Île-de-France,44962,Europe/Paris,open-meteo-geocoding
94,Créteil,DEP94-3022530,48.79266,2.46569,FR,Île-de-France,84833,Europe/Paris,open-meteo-geocoding
95,Cergy,DEP95-3027883,49.03645,2.07613,FR,Île-de-France,57576,Europe/Paris,open-meteo-geocoding
971,Basse-Terre,DEP971-3579732,15.99714,-61.73214,GP,,11472,America/Guadeloupe,open-meteo-geocoding
972,Fort-de-France,DEP972-3570675,14.60365,-61.07418,MQ,,89995,America/Martinique,open-meteo-geocoding
973,Cayenne,DEP973-3382160,4.9381,-52.33455,GF,,61550,America/Cayenne,open-meteo-geocoding
974,Saint-Denis,DEP974-935264,-20.88231,55.4504,RE,,154765,Indian/Reunion,open-meteo-geocoding
976,Mamoudzou,DEP976-921815,-12.78234,45.22878,YT,Mamoudzou,54831,Indian/Mayotte,open-meteo-geocoding
